image_id,mean,variance,sd,mad,medad,lc,lp,percentile_25,percentile_75,contrast,dissimilarity,homogeneity,ASM,energy,correlation,class
nonDem288.jpg,83.62893356643356,8205.495887062021,90.58419225815297,84.22199759921023,40.0,255,0.0023492132867132865,0.0,170.0,245.05799972015666,7.391028326121159,0.49981920776652883,0.19403854337041376,0.4404980628452454,0.9866287259778521,NonDemented
nonDem289.jpg,78.62510926573427,7424.9010871821165,86.16786574577623,79.39310803754537,40.0,254,0.0026223776223776225,0.0,158.0,226.50992511570803,7.659351310954662,0.4941512697690283,0.1930374221999068,0.4393602419426533,0.9865165972608845,NonDemented
nonDem29.jpg,58.35350196678322,4110.287214025564,64.11152169482148,59.09819550182868,27.0,255,0.0028682255244755245,0.0,116.0,154.49275432454306,6.068571455107303,0.5060144848482901,0.19410844409825884,0.44057739853317357,0.983020446546309,NonDemented
nonDem290.jpg,80.17933238636364,7622.359038540307,87.3061225719039,80.65556004664282,42.0,253,0.002130681818181818,0.0,162.0,229.02172636412433,7.357349928788608,0.49660352286911624,0.19320987537426237,0.43955645300036533,0.9866326566106863,NonDemented
nonDem291.jpg,75.77062390734265,7263.820283242732,85.22804868846131,78.05526600577053,35.0,255,0.0028682255244755245,0.0,158.0,232.2573923522432,7.900289889337728,0.49257500837137813,0.19364270099080247,0.4400485211778384,0.9862289973493508,NonDemented
nonDem292.jpg,71.31132539335664,6170.472651455744,78.5523561165147,72.42257901003812,31.0,255,0.003414554195804196,0.0,145.0,177.9612430438283,6.74732922174735,0.5043455498612076,0.19482684037755563,0.44139193510706065,0.9874389977073671,NonDemented
nonDem293.jpg,78.08424388111888,7627.1277368845795,87.33342851900743,79.90427331338215,35.0,255,0.0024311625874125875,0.0,160.0,285.74531531051616,8.659710183826974,0.48773390059565797,0.19266540916291275,0.4389366801292787,0.9833886963408711,NonDemented
nonDem294.jpg,77.76231971153847,7337.847381550759,85.66123616637084,78.80685208111825,37.0,254,0.0025404283216783215,0.0,155.0,237.37247865251265,7.840165666653775,0.4935953225986988,0.19398027152131322,0.4404319147397396,0.9856854226713909,NonDemented
nonDem295.jpg,82.45260598776224,8036.618492443968,89.64718898238789,83.0159913258504,40.0,254,0.0027316433566433565,0.0,167.0,204.41049091721652,7.21187028643908,0.499083774687126,0.19338692798641763,0.43975780605512577,0.9889114786342251,NonDemented
nonDem296.jpg,63.06823645104895,4660.46365672381,68.26758862537778,63.42313037696774,33.0,255,0.006091564685314685,0.0,129.0,154.0186618443695,5.792795056127943,0.50908187898072,0.1933051554189793,0.4396648216755342,0.9850251805230321,NonDemented
nonDem297.jpg,67.19342766608392,6462.9711357817,80.39260622583211,71.11896296520794,30.0,253,0.002021416083916084,0.0,139.0,244.94813085673377,8.129689476802014,0.4955202574347062,0.19524789993795402,0.4418686455700993,0.9842366543568819,NonDemented
nonDem298.jpg,66.64250983391608,5523.715322503182,74.32170155818004,68.11435013828465,29.0,255,0.0037423513986013985,0.0,136.0,173.96974543487886,6.561987605993636,0.505263888126576,0.19409485523206055,0.44056197660721985,0.9863244535483099,NonDemented
nonDem299.jpg,72.7546437937063,6756.759566503362,82.19951074369824,74.87541145676535,32.0,254,0.0023765297202797205,0.0,148.0,236.92284441317315,7.766238819080172,0.49422297864586895,0.19417339670593164,0.4406511054178029,0.9847578094115588,NonDemented
nonDem3.jpg,82.37530048076923,8050.948720134798,89.72707907947745,82.95372057704915,39.0,255,0.0025404283216783215,0.0,165.0,186.65004915813915,7.132256760611199,0.4996114957934158,0.19453835563644686,0.4410650242724386,0.9900697943336917,NonDemented
nonDem30.jpg,74.59648164335664,6824.7482852610265,82.61203474834055,75.67506476669092,35.0,251,0.002649694055944056,0.0,146.0,239.00952489339397,7.406376844068291,0.4975856704440036,0.19405411845346507,0.44051574143663136,0.984441645910296,NonDemented
nonDem300.jpg,76.1323208041958,6895.352082550931,83.03825674079948,76.79703271419903,38.0,255,0.0030048076923076925,0.0,153.0,199.8895247183682,7.342663938732585,0.4962824291341271,0.19466517203156297,0.4412087624147587,0.9871909487698478,NonDemented
nonDem301.jpg,59.09224759615385,4304.605372592543,65.6094914825023,59.87353371163091,29.0,253,0.004916958041958042,0.0,117.0,110.04135315588792,5.4243754550407175,0.5140703300985711,0.19569578488117886,0.4423751630473606,0.9892143462616843,NonDemented
nonDem302.jpg,66.42083697552448,6093.508374823948,78.06092732490403,69.43583667633312,29.0,253,0.0024857954545454545,0.0,135.0,203.93612238147762,7.556825429317541,0.49524306583019584,0.1940271857838794,0.44048517090122274,0.9861841670495137,NonDemented
nonDem303.jpg,71.5481042395105,6065.431525580043,77.88088035955964,71.85344154499313,36.0,255,0.003032124125874126,0.0,145.0,145.82266456942307,6.097446541418321,0.5124747250125621,0.19537757492738828,0.44201535598595243,0.9896287220999036,NonDemented
nonDem304.jpg,82.66083916083916,7909.631637320285,88.93610986163205,82.86894358373272,44.0,244,0.0026770104895104895,0.0,169.0,174.19091866069357,6.552215348550817,0.5087704845622328,0.1949811259970754,0.4415666721991996,0.9904280782201108,NonDemented
nonDem305.jpg,84.67996066433567,8210.184178844609,90.61006665290898,84.54894214842604,47.0,254,0.002895541958041958,0.0,175.0,179.53264401850174,6.753899271046976,0.504489025014537,0.19400392401688324,0.44045876539908163,0.9904050775983793,NonDemented
nonDem306.jpg,77.28340799825175,7521.370810806877,86.7258370429878,79.47939479957904,34.0,255,0.0029774912587412585,0.0,160.0,252.44819990440737,7.922705349046737,0.4921779923511655,0.1927154142581938,0.43899363806118397,0.9853948784495286,NonDemented
nonDem307.jpg,83.81312827797203,8248.585025419297,90.82172111020192,84.6362267915378,39.0,255,0.0028135926573426575,0.0,172.0,274.02015306282556,7.646156002068892,0.495061013982539,0.19223520502125493,0.43844635364118945,0.984958680439443,NonDemented
nonDem308.jpg,73.99205091783217,6822.900095247407,82.60084802983204,75.71283015694628,36.0,255,0.0028135926573426575,0.0,152.0,270.40795153722866,8.124334059597459,0.48965796981274895,0.1924033861357253,0.4386381038347276,0.9822727796017345,NonDemented
nonDem309.jpg,74.37876966783217,6562.980714045723,81.0122257072704,75.15794764530911,36.0,253,0.00352381993006993,0.0,154.0,174.9013672513538,6.426059379533399,0.504070165532415,0.1935066802056979,0.43989394199704307,0.9883357255298287,NonDemented
